,,,,,,,,,,,,,,,,,,,,,,,,,
Instrucciones de llenado,,,,,,,,,,,,,,,,,,,,,,,,,
"Favor de especificar línea por linea si su solución cumple o no cumple con el requerimiento, marcando con una ""X"" la columna D (""Si"") o la columna E (""No"") ",,,,,,,,,,,,,,,,,,,,,,,,,
dependiendo de si cumple o no cumple con requerimiento de la linea.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"En la columna C (""Dispositivo"") favor de seleccionar la opción que corresponda, dependiendo de si su solición es ""movil"", ""fija"" o ""movil y fijo"" para el requerimiento de cada linea",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1.0 Requerimientos Funcionales,,,,,,,,,,,,,,,,,,,,,,,,,
,,,¿Cumple con el requerimiento?,,,,,,,,,,,,,,,,,,,,,,
,,Deseable / Obligatorio ,Sí,No,"En caso de responder ""SI"", agregar soporte del cumplimiento","Especifique
Comente",,,,,,,,,,,,,,,,,,,
,Capacitación y entrenamiento ,,,,,,,,,,,,,,,,,,,,,,,,
,Escalabilidad y Personalización,,,,,,,,,,,,,,,,,,,,,,,,
1,"La plataforma permite diseñar rutas de aprendizaje por puesto y adaptarlas según perfiles, niveles y necesidades específicas?",Obligatorio,,,,,,,,,,,,,,,,,,,,,,,
2,Adptive Learning evaluación inicial de conocimientos que te asigne a un nivel de la ruta de aprendizaje,Deseable,,,,,,,,,,,,,,,,,,,,,,,
3,"Personalización del contenido según perfil del colaborador. Es posible adaptar que el colaborador seleccione si prefiere aprender con vídeos o con juegos o de acuerdo al comportamiento del aprendizaje (likes, etc.)",Deseable,,,,,,,,,,,,,,,,,,,,,,,
4,"La plataforma permite configurar rutas específicas por puesto (Líder, Encargado, Ayudante) con tiempos y certificaciones distintas según la evolución del rol?",Obligatorio,,,,,,,,,,,,,,,,,,,,,,,
5,Autogestión para creación de nuevo contenido. Generación de contenido por AI de forma más rápida y atunónoma,Obligatorio,,,,,,,,,,,,,,,,,,,,,,,
6,"Tiene bibliotecas de aprendizaje con contenido que pueda autoasignarse en colaborador (personalización de sugerencias, likes, etc)",Deseable,,,,,,,,,,,,,,,,,,,,,,,
7,La plataforma permite programar certificaciones y recertificaciones por nivel de expertise dentro de la ruta de aprendizaje?,Obligatorio,,,,,,,,,,,,,,,,,,,,,,,
8,"Accesibilidad. Posibilidad de cambiar idioma, subtítulos, lenguaje de señas, alto contraste y visual aids para personas con discapacidad auditiva o visual",Obligatorio,,,,,,,,,,,,,,,,,,,,,,,
9,"Permite asignación masiva de Cursos a más de 150,000 usuarios",Obligatorio,,,,,,,,,,,,,,,,,,,,,,,
10,Programación de cursos a fecha futura,Obligatorio,,,,,,,,,,,,,,,,,,,,,,,
,Interactividad y Engagement,,,,,,,,,,,,,,,,,,,,,,,,
11,"Asistente Virtual (explicación de herramientas, soporte dudas, búsqueda de información, etc)",deseable,,,,,,,,,,,,,,,,,,,,,,,
12,"Personalización de la Plataformas (colores OXXO, Logo, avatar, etc)",Obligatorio,,,,,,,,,,,,,,,,,,,,,,,
13,Integración de videos explicativos de explicación de herramientas a nuevos usuarios y actualización de herramienta,Deseable,,,,,,,,,,,,,,,,,,,,,,,
14,Tiene insignias digitales que representen las certificaciones de Nivel acreditado en la Ruta de Aprendizaje o terminancón de cursos?,Deseables,,,,,,,,,,,,,,,,,,,,,,,
